I need an answer.	Necesito una respuesta.
I'm eating now.	Ahora estoy comiendo.
Draw a picture of it.	Dibujadla.
Your breath smells.	Te apesta la boca.
Tomorrow's Halloween.	Mañana es Halloween.
I caused an accident.	Provoqué un accidente.
No one came.	Ninguno acudió.
Now we're adults.	Ya somos adultos.
Do you drink coffee?	¿Bebes café?
Just hang in there.	Solo espera ahí.
He arrived late.	Llegó tarde.
I love to write.	Me encanta escribir
Tom can't refuse.	Tom no puede rehusarse.
That would be gross.	Eso sería asqueroso.
Try this.	Prueben esto.
I had an accident.	Tuve un accidente.
What a heel!	¡Qué tipo tan arrastrado!
I want to save money.	Quiero ahorrar.
Can I leave now?	¿Ahora puedo irme?
What a wonderful view!	¡Qué maravillosa vista!
That's quite absurd.	Eso es completamente absurdo.
Help yourself.	Sírvase usted mismo.
Let's relax a little.	Relajémonos un poco.
We smiled at Tom.	Sonreímos a Tom.
You must be crazy.	Debes estar loco.
I'm a good swimmer.	Soy buen nadador.
Tom wasn't jealous.	Tom no estaba celoso.
Does he have money?	¿Tiene dinero?
Tom is winning.	Tomás está ganando.
Where did you look?	¿Dónde buscaste?
You confused me.	Me confundiste.
I saw one.	Vi a uno.
I saw a plane.	Vi un avión.
We're ignoring Tom.	Estamos ignorando a Tom.
Tom is winded.	Tom está sin aliento.
I miss it.	Lo añoro.
They should sue you.	Ellos deberían demandarte.
Did you live here?	¿Usted vivía aquí?
It was a bad choice.	Me equivoqué.
This is simple.	Esto es sencillo.
They'll grow.	Crecerán.
Tom appealed for help.	Tom pidió ayuda.
We're among friends.	Estamos entre amigos.
You're really brave.	¡Usted es muy valiente!
I'm moving in.	Me voy a mudar.
Let's take the elevator.	Tomemos el ascensor.
Please stay.	Por favor quédate.
I talked.	Hablé.
She kissed him.	Ella le besó.
She is aggressive.	Ella es agresiva.
I wrote that down.	Lo apunté.
He is tired.	Él está cansado.
I like turtles.	Me gustan las tortugas.
This never happened.	Esto nunca pasó.
Let's synchronize our watches.	Sincronicemos nuestros relojes.
Write down each word.	Anota cada palabra.
We're feeling confident.	Nosotras estamos sintiéndonos seguras.
I'll sue you.	Te demandaré.
I closed my umbrella.	Cerré mi paraguas.
Just do it.	Tan sólo hazlo.
Tom didn't complain.	Tom no se quejó.
I'll go by taxi.	Iré en taxi.
I'm astonished.	Estoy asombrada.
Keep on smiling.	Siempre ríe.
Does she speak French?	¿Habla ella francés?
Nothing is happening.	No está pasando nada.
Business is slow.	Los negocios son lentos.
He was getting old.	Él estaba envejeciendo.
We could try.	Creo que podemos.
That's just absurd.	Eso es simplemente absurdo.
There were only girls.	Había sólo chicas.
I was almost killed.	Casi me matan.
Cats are territorial.	Los gatos son territoriales.
I'll always remember you.	Siempre te recordaré.
We'll rest afterwards.	Descansaremos después.
Try to be strong.	Intenta ser fuerte.
Just have a seat.	Sentémonos.
That wasn't Tom.	Ese no era Tom.
I paid my bills.	Pagué mis cuentas.
What are you celebrating?	¿Qué celebran?
It was his decision.	Fue decisión suya.
Tastes differ.	Sobre gustos no hay disputas.
We're scared.	Estamos asustados.
You'll get lost.	Te vas a perder.
Don't be angry.	No se enfade.
We live in Boston.	Vivimos en Boston.
I think it works.	Creo que funciona.
Turn on the radio.	Prendé la radio.
You are making history.	Están haciendo historia.
What did that accomplish?	¿Eso qué logró?
What nonsense!	¡Qué tontería!
I need a pen.	Necesito un bolígrafo.
Send me your picture.	Mándame tu foto.
I have plans.	Tengo planes.
He is mean.	Él es mezquino.
Is there any ketchup?	¿Hay ketchup?
How lucky you are!	¡Qué afortunado eres!
You know everything.	Conoces todo.
Stay with us.	Quédate aquí con nosotras.
Do you play chess?	¿Juegas al ajedrez?
I had to resign.	Tuve que renunciar.
Let me have a look.	Déjame ver.
Sign here, please.	Firmen aquí, por favor.
Tom wanted Mary.	Tom quería a Mary.
Did you help?	¿Ayudabas?
You people are amazing.	Son increíbles.
What is happening?	¿Qué está pasando?
What do you want?	¿Qué quieren?
Tom will speak.	Tom hablará.
I was defenseless.	Estuve indefenso.
This is correct.	Es correcto.
I want everything.	Lo quiero todo.
Tom teaches French.	Tom enseña francés.
Stop. That tickles.	Para. Hace cosquillas.
I hate that book.	Odio ese libro.
I'll help you.	Yo te ayudaré.
Share your experience.	Comparte tu experiencia.
Get started.	Empieza.
That's fine.	Está bien.
It's getting cold.	Se está poniendo helado.
Learn French.	Aprended francés.
Say that in French.	Dilo en francés.
They're traitors.	Son traidores.
I talked to friends.	Hablé con amigos.
We weren't hiding.	No nos estábamos ocultando.
They all rose.	Todos se levantaron.
She is crying.	Ella está llorando.
Please speak slowly.	Por favor, hable despacio.
Get away from me.	Aléjate de mí.
He's just arrived.	Acaba de llegar.
We've seen her.	Nosotras la vimos.
Quiet down.	Baja la voz.
I'd like a salad.	Quisiera una ensalada.
Pets are allowed.	Se permiten mascotas.
The sun is shining.	El sol brilla.
You promised.	Lo prometieron.
There's no cure.	No hay cura.
The voting continued.	La votación prosiguió.
Tom agreed.	Tom estuvo de acuerdo.
That was magic.	Eso fue mágico.
Come home early.	Volvé a casa temprano.
Tom has rabbits.	Tom tiene conejos.
Stop. That tickles.	Detente. Da cosquillas.
Use this one.	Utiliza este.
I was sitting there.	Estuve sentado allí.
What're you saying?	¿Qué quiere decir?
We want more.	Queremos más.
Tom went to bed.	Tomás se acostó.
When did this happen?	¿Esto cuándo pasó?
I'm making coffee.	Estoy haciendo café.
I'm always hungry.	Siempre estoy hambriento.
Don't deceive me.	No me engañes.
We are doctors.	Nosotros somos doctores.
I forgot my jacket.	Olvidé mi chaqueta.
Now try this.	Ahora probá este.
Wait and see.	Espere y mire.
What've you been cooking?	¿Qué estuviste cocinando?
Hold your position.	Mantené tu posición.
Where's the bank?	¿Dónde está el banco?
Fix this.	Arregla esto.
Tom was curious.	Tom estaba curioso.
I stopped to smoke.	Paré para fumar.
I'm extremely busy.	Estoy extremadamente ocupada.
Get away!	¡Lárgate!
Don't come.	No vengas.
Both of them survived.	Sobrevivieron los dos.
You can answer it.	Puedes responderlo.
Finish this.	Termine esto.
Tom runs fast.	Tom corre rápido.
Let's do the work.	Hagamos el trabajo.
I want to eat.	Quiero comer.
I have some gifts.	Tengo algunos regalos.
I'll start soon.	Enseguida empiezo.
Tom was hypnotized.	Tom estaba hipnotizado.
Press the button.	Presiona el botón.
I'm quite tired.	Estoy bastante cansado.
It's work.	Es trabajo.
Make an appointment.	Acuerde una cita.
That's too much.	Eso es demasiado.
I'm creative.	Soy creativo.
Who were you with?	¿Con quién estabas?
You are very brave.	Son muy valientes.
Come and get it.	Ven a cogerlo.
Who stood?	¿Quién se quedó?
That's him.	Ése es él.
Tom is wet.	Tom está mojado.
Get your mother.	Recoge a tu madre.
Did Tom know?	¿Tom sabía?
It's an expression.	Es una expresión.
Wash your face.	Lávese la cara.
It's so early.	Es tan temprano.
That's huge.	Eso es enorme.
Dinner is served.	La comida está servida.
I'll be busy tomorrow.	Mañana estaré ocupado.
Are you here?	¿Estáis aquí?
Bring me the scissors.	Tráeme las tijeras.
You promised.	Usted prometió.
Tom agrees.	Tomás está de acuerdo.
He's completely crazy.	Él está completamente loco.
Tom drives.	Tomás conduce.
The objection is overruled.	Denegada.
I know you.	Os conozco.
Let's see what happens.	Veamos qué pasa.
What should I buy?	¿Qué debería comprar?
It'll be fun.	Eso será divertido.
That's not true.	Eso no es verdad.
He wants to speak.	Él quiere hablar.
Why did you come?	¿Por qué viniste?
Don't let me down.	No me desilusiones.
Shall we begin?	¿Comenzamos?
Everybody needs one.	Todos necesitan uno.
I don't regret it.	No me arrepiento.
You're good.	Usted es buena.
I wanted to surprise you.	Quería sorprenderte.
They're able students.	Son estudiantes capaces.
You're happy, aren't you?	Eres feliz, ¿verdad?
Tom's married.	Tom está casado.
Owls are cute.	Los búhos son monos.
Where's the food?	¿Dónde está la comida?
I'll wait for you.	Esperaré por usted.
You're almost right.	Casi aciertas.
Come quickly!	¡Ven rápido!
Your name was mentioned.	Mencionaron su nombre.
Be good.	Sé bueno.
Tom looked angry.	Tom parecía enojado.
This is incorrect.	Esto es incorrecto.
Wood floats.	La madera flota.
Tom's awake.	Tom está despierto.
It will snow tomorrow.	Nevará mañana.
I often travel.	Viajo a menudo.
Tom will be thrilled.	Tom estará encantado.
Please stay.	Por favor quedate.
Turn off the TV.	Apagad la televisión.
Let's not get excited.	No nos emocionemos.
It is already dark.	Ya ha oscurecido.
Tom washed himself.	Tom se lavó.
They love each other.	Ellos se aman.
I saw that.	Vi eso.
Wait a minute.	Espere usted un minuto.
Do you have any brothers?	¿Tienes hermanos?
I forgot.	Lo olvidé.
I'm a swimmer.	Soy nadadora.
Tom is honest.	Tom es honesto.
You never ask.	Nunca preguntas.
Breathe in.	Inspirad.
It was stiflingly hot.	Era sofocantemente caliente.
That's absolutely incredible.	Eso es absolutamente increíble.
Shoot!	¡Disparad!
She isn't married.	Ella no está casada.
Drink more water.	Beban más agua.
We're here.	Estamos aquí.
We won't walk there.	No caminaremos allá.
I despise Tom.	Yo menosprecio a Tom.
Give it up.	Ríndanse.
Where can I park?	¿Dónde puedo estacionar?
Are you new?	¿Sois nuevos?
They were completely surprised.	Estaban absolutamente sorprendidos.
Thanks for this.	Gracias por esto.
Don't exaggerate.	No exageréis.
They're Asian.	Son asiáticos.
Contact Tom.	Ponte en contacto con Tom.
I hate cats.	Odio los gatos.
Tom needs me.	Tomás me necesita.
I said enough.	He dicho suficiente.
You're fired.	Está despedido.
You must be exhausted.	Debes estar agotado.
Stay positive.	Sé positivo.
We study music.	Nosotros estudiamos música.
They are pilots.	Ellos son pilotos.
I'll decide tomorrow.	Mañana tomaré una decisión.
Hold on tight.	Sujétalo fuerte.
Don't toy with me.	No juegues conmigo.
Get away!	¡Largo!
Are you busy?	¿Está usted ocupada?
Did Tom run?	¿Corrió Tom?
Please don't cry.	No llores, por favor.
You're a nobody.	Eres un donnadie.
We understand the issues.	Comprendemos los problemas.
I understand it.	Lo comprendo.
Ask anything.	Pregunta cualquier cosa.
They helped each other.	Se ayudaban mutuamente.
Am I handsome?	¿Estoy guapo?
Take a card.	Saca una carta.
She insulted him.	Ella lo insultó.
Tom called Mary.	Tom llamó a Mary.
Do you have rice?	¿Usted tiene arroz?
Your telephone's ringing.	Tu teléfono está sonando.
Tom loves you.	Tom te ama.
Has something else happened?	¿Pasó algo más?
It's very hot.	Está muy caliente.
Did you find a job?	¿Encontraste trabajo?
Let's buy this one.	Compremos este.
It failed.	Fracasó.
I know this.	Esto lo sé.
Do you guys understand?	¿Entendéis?
Close the curtains.	Cierra las cortinas.
What are you hiding?	¿Qué estás escondiendo?
Welcome back.	Bienvenido de vuelta.
Stop doing that.	Para de hacer eso.
We didn't talk yesterday.	Ayer no hablamos.
He began running.	Él empezó a correr.
Stop moving!	¡Quédate quieto!
Take this.	Tomen esto.
I'm fasting.	Estoy ayunando.
They're running late.	Ellos van tarde.
Did you eat anything?	¿Comiste algo?
I'm fit.	Estoy en forma.
Did everyone agree?	¿Estuvieron todos de acuerdo?
Everything will change.	Todo cambiará.
I have appendicitis.	Tengo apendicitis.
How will you get back?	¿Cómo volverás?
I am not deaf.	No estoy sordo.
You've grown a lot.	Has crecido mucho.
Tom disgusts me.	Tom me da asco.
I can do it.	Puedo hacerlo.
Don't stand up.	No te pares.
Come see me.	Vengan a verme.
I have no friends.	No tengo amigos.
I'm famous.	Soy famoso.
See you tomorrow.	Los veo mañana.
We're back.	Hemos vuelto.
We have no water.	No tenemos agua.
I have a key.	Tengo una llave.
Tom's singing.	Tom está cantando.
I play outfield.	Juego en el campo.
I didn't remember anything.	No recordaba nada.
Tom kept on walking.	Tom siguió andando.
I have wine.	Tengo vino.
Are you bald?	¿Estás tú calvo?
I've found something.	Encontré algo.
They all sat.	Todos se sentaron.
You're an idiot.	Sos un idiota.
You know everything.	Conocen todo.
Can I see them?	¿Me dejas verlos?
There was carnage.	Hubo una carnicería.
Can you sign this?	¿Puedes firmar esto?
Come and help me.	Ven y ayúdame.
You have many books.	Tienes muchos libros.
They're clean.	Están limpias.
It's occupied.	Está ocupado.
Nothing can stop you.	Nada puede detenerte.
I want to see him.	Quiero verlo.
Get me a doctor.	Consígueme un doctor.
You may go.	Podés irte.
It's interesting.	Es interesante.
It came apart.	Se quebró.
I went home.	Me fui a casa.
They ate marshmallows.	Ellas comieron bombones.
It's your choice.	Tú decides.
They're crazy.	Están locos.
Tom surprised Mary.	Tom sorprendió a Mary.
We didn't accomplish much.	No hicimos mucho.
What are those?	¿Qué son ésas?
Choose wisely.	Escoge sabiamente.
We became friends.	Nos hicimos amigos.
What did you make?	¿Qué hiciste?
Do you want to wait?	¿Quieres esperar?
I don't recognize it.	No lo reconozco.
What happened?	¿Qué ha ocurrido?
I don't love her.	No la quiero.
Take a seat, please.	Siéntense, por favor.
I share your concern.	Comparto tus preocupaciones.
It'll never happen.	Nunca sucederá.
You should eat vegetables.	Deberías comer vegetales.
Tom prepaid.	Tom pagaba por adelantado.
Would you prefer tea?	¿Preferirías té?
Tom wasn't safe.	Tom no estaba seguro.
Don't tell me.	¡No me digas!
I'm alone.	Estoy sola.
You abandoned me.	Me abandonaste.
I can't hear you.	No puedo oírte.
They always complain.	Siempre se quejan.
Unfortunately, it rained yesterday.	Desgraciadamente ayer llovió.
I'm an agent.	Soy agente.
You're forgiven.	Estás perdonado.
I didn't pay.	No pagué.
Do you remember anything?	¿Recuerdas algo?
What did you learn?	¿Qué aprendiste?
Tom is naked.	Tom está desnudo.
Has he arrived yet?	¿Ha llegado ya?
I want some water.	Yo quiero agua.
I have a message.	Tengo un mensaje.
Tom's shot.	Tom fue disparado.
Who else knows?	¿Quién más sabe?
Open the doors.	Abre las puertas.
Nobody likes Tom.	Nadie quiere a Tom.
Come here quickly.	Ven aquí, rápido.
You are wavering.	Estás vacilando.
Who fell?	¿Quién se cayó?
Enjoy yourselves.	Diviértanse.
He ate out.	Él salió a comer.
You're cool.	Sos un langa.
Do you want money?	¿Quieren dinero?
Watch and learn.	¡Mirá y aprendé!
You know me.	Tú me conoces.
Hold the rope.	Aguanta la cuerda.
Open the hood.	Quítate la capucha.
You made me laugh.	Me hiciste reír.
I helped them yesterday.	Ayer les ayudé.
I understand your point.	Entiendo tu postura.
You're really boring.	Eres aburridísimo.
You'll never be alone.	Nunca estarás solo.
They're arguing.	Están discutiendo.
Do you drink wine?	¿Tomás vino?
Let's party.	Festejemos.
We're very discouraged.	Estamos muy desanimados.
Give me your knife.	Dame tu cuchillo.
I talked.	Hablaba.
Be sensible.	Sé razonable.
I have returned.	He vuelto.
It'll happen soon.	Ocurrirá en breve.
We're too drunk.	Estamos demasiado bebidos.
I'm with him.	Estoy con él.
Go get it.	Ve a por ello.
Tom isn't naive.	Tom no es ingenuo.
Yes, I know.	Sí, lo sé.
I'm patient.	Soy paciente.
Meat is scarce.	La carne está escasa.
You're useless.	No servís para nada.
Don't leave!	¡No te vayas!
We'll talk later.	Hablaremos más tarde.
Did Tom help?	¿Tom ayudó?
Nobody can save me.	Nadie puede salvarme.
You're gross.	Tú estás obeso.
I'm really hungry.	Estoy muy hambriento.
You're all invited.	Todas ustedes están invitadas.
Tom plays the oboe.	Tom toca oboe.
Can we prove it?	¿Podemos probarlo?
Is it not black?	¿No es negra?
We'll be happy.	Estaremos felices.
Hang on a sec.	Espera un segundo.
I like honey.	Me gusta la miel.
I am very tired.	Estoy muy cansado.
Black is depressing.	Lo negro entristece.
Tom's my cousin.	Tom es mi primo.
Tom is a Canadian.	Tom es canadiense.
Bring it here.	Tráetelo aquí.
The man ran away.	El hombre huyó.
This is fascinating.	Esto es fascinante.
Nothing's free.	Nada es gratis.
Watch my back.	Cubre mi espalda.
Tom studies French.	Tom estudia francés.
Please sit down.	Sentate por favor.
We're going.	Nosotros vamos a ir.
That's not French.	Eso no es francés.
How do you do?	¿Cómo estáis?
I don't know French.	No sé francés.
Tom was framed.	Tom fue enmarcado.
I play tennis.	Juego al tenis.
It wasn't easy.	No fue fácil.
Come back.	Vuelve.
Where am I?	¿Dónde estoy?
Open the shutter.	Abre el postigo.
I love reading.	Me encanta leer.
Be good.	Sed buenas.
Help me out.	Écheme la mano.
You're under arrest.	Quedas detenido.
Find the cat.	Encuentra al gato.
I sneeze a lot.	Estornudo mucho.
