('regresalo', 'put it back')
('tom esta atascado en el pasado', 'tom is stuck in the past')
('le gustaria ponerle hielo ?', 'would you like ice ?')
('los dos bandos firmaron un tratado de paz', 'the two sides signed a peace treaty')
('pense que iba a tener un ataque al corazon', 'i thought i was going to have a heart attack')
('tom le ayudo a mary a poner la mesa', 'tom helped mary set the table')
('no podemos ignorar este problema', 'we can t ignore this problem')
('el respeta a su padre', 'he respects his father')
('vista a lo lejos la roca se parecia a un rostro humano', 'seen at a distance the rock looked like a human face')
('alguien esta vigilando la entrada', 'someone is guarding the entrance')
('lo puedes dejar ahi', 'you can put it there')
('el juego se suspendio por la lluvia', 'the game was canceled due to rain')
('esta escrito a lapiz asi que lo podeis borrar', 'it s written in pencil so you can erase it')
('el esta muy preocupado por la salud de su anciano padre', 'he is very concerned about his elderly parent s health')
('no pude reparar esta nevera', 'i couldn t repair this refrigerator')
('se determino a hacer el viaje ?', 'did he make up his mind to make the trip ?')
('tal vez no tenga novia pero al menos soy rico dijo tom', 'i may not have a girlfriend but at least i m rich said tom')
('ni siquiera he comenzado', 'i haven t even begun')
('trabaja un poco ! te servira para adelgazar', 'do a little work ! you ll lose some weight')
('yo soy mas alto', 'i am taller')
('me gusta ver a las personas', 'i like watching people')
('has visto mi libro ?', 'have you seen my book ?')
('me ire manana si el tiempo lo permite', 'i ll leave tomorrow weather permitting')
('creo que comeremos pescado', 'i think we ll eat fish')
('me gusto mucho hablar con usted', 'i enjoyed talking with you')
('nadie me hablo acerca de eso', 'no one told me about that')
('a nadie le importa lo que tu pienses', 'nobody cares what you think')
('el oficial al mando dijo que se quedarian', 'the commander said they would stay')
('algunas personas duermen de dia y trabajan de noche', 'there are some people who sleep in the daytime and work at night')
('ahora tengo que irme', 'i have to go now')
('este tanque tiene una capacidad de treinta litros', 'this tank has a capacity of thirty liters')
('estas pensando seriamente en involucrarte ?', 'are you seriously thinking about becoming involved ?')
('puedes abrir la ventana ?', 'open the window will you ?')
('a mary los hombres le dan miedo', 'mary is afraid of men')
('estoy cansado de esta monotona vida', 'i m tired of this monotonous life')
('me gusta caminar', 'i like walking')
('ven a mi casa cuando quieras', 'come to my house whenever you like')
('quizas podamos hacer trato', 'maybe we could make a deal')
('quiero ponerle tu nombre al bebe', 'i want to name the baby after you')
('te traje algo para comer', 'i brought you something to eat')
('tom es un bailarin profesional', 'tom is a professional dancer')
('hay dos gatos escondidos debajo de su auto', 'there are two cats hiding under her car')
('quien escribio la carta ?', 'who wrote the letter ?')
('realmente tengo que irme', 'i really need to go')
('ella no estaba de humor para almorzar', 'she didn t feel like eating lunch')
('nos separamos', 'we got separated')
('tom no esta bien hoy', 'tom isn t well today')
('yo planeo viajar alrededor del mundo tan pronto como pueda costearlo', 'as soon as i can afford it i plan to travel around the world')
('tom dejo su trabajo la semana pasada', 'tom quit his job last week')
('no encuentro mi pluma', 'i can t find my pen')
('estaba cansada pero segui trabajando', 'i was tired but continued working')
('los tres somos estudiantes', 'all three of us are students')
('vamos despierta', 'come on wake up')
('ya llevamos tres meses juntos', 'we ve been dating for three months now')
('voy a preguntarle adonde fue el domingo pasado', 'i will ask him where he went last sunday')
('ambas pronunciaciones son correctas', 'both pronunciations are correct')
('bajemos la escalera despacio', 'let s go down the stairs slowly')
('que haras ?', 'what ll you do ?')
('esto huele a queso', 'this smells like cheese')
('a tom le gusta esa idea', 'tom likes that idea')
('nunca espere encontrarla en un lugar como este', 'i never expected to meet her in a place like this')
('la conoci durante mi estadia en mexico', 'i met her during my stay in mexico')
('usted lo necesita', 'you need it')
('no creo que eso sea cierto', 'i don t believe that to be true')
('tom no sabia que mary tenia hijos', 'tom didn t know that mary had children')
('ganar la loteria es una forma facil de hacer dinero', 'winning a lottery is an easy way of making money')
('me sangra la nariz', 'i have a nosebleed')
('tom era un fracasado', 'tom was unsuccessful')
('tom abordo el barco', 'tom boarded the ship')
('yo me quiero', 'i love myself')
('ahora nunca salgo', 'i never go out anymore')
('para de gritarme', 'stop yelling at me')
('estaba cansado pero segui trabajando', 'i was tired but continued working')
('su nueva novela es digna de leerse', 'his new novel is worth reading')
('quiero pensarlo', 'i want to think about it')
('ellas estan viniendo por mi', 'they re coming for me')
('estas en lo correcto al pensar asi', 'you are correct in thinking so')
('solo pienso en ti', 'i m only thinking of you')
('saben todo', 'you know everything')
('prefieres ir en tren o en autobus ?', 'do you prefer to go by train or bus ?')
('pareces espabilado', 'you look sharp')
('ellos van juntos a veces a ver una pelicula', 'they go to the movies together once in a while')
('despues de una amplia reflexion he decidido no aceptar la oferta', 'after much reflection i decided not to accept the offer')
('su madre es profesora de ingles', 'his mother is an english teacher')
('pidio una cerveza', 'he ordered a beer')
('tom no sabia que mary estaba en el club', 'tom didn t know mary was at the club')
('vamos hazlo', 'come on do it')
('el alcalde se dirigio a una gran audiencia', 'the mayor addressed a large audience')
('todo depende de los resultados', 'everything depends upon the results')
('pensas que tom sabe ?', 'do you think tom knows ?')
('se determino que el incendio fue provocado por cableado defectuoso', 'it was determined that faulty wiring was the cause of the fire')
('eso tiene sentido de forma intuitiva', 'that does make sense intuitively')
('el se le acerco sigilosamente en medio de la noche', 'he sneaked up on him in the middle of the night')
('es un gran problema', 'that s a big problem')
('los dos tienen hambre', 'both of them are hungry')
('todavia no ha oido esta noticia', 'she still hasn t heard this news')
('hay muchas estrellas mas grandes que nuestro sol', 'there are a lot of stars which are larger than our sun')
('dices que quieres ir a boston ? por que demonios querrias ir alli ?', 'you say you want to go to boston ? why in the world would you want to go there ?')
('por fin la primavera ha llegado a esta parte de japon', 'at last spring has come to this part of japan')
('pidan refuerzos', 'call for reinforcements')
('eso fue solo un sueno', 'that was just a dream')
('me siento sola', 'i feel lonely')
('tom bebio demasiado anoche', 'tom drank way too much last night')
('lo que dice el periodico es verdad', 'what the newspapers say is true')
('ni siquiera estoy seguro de si tom vendra o no', 'i m not even sure whether tom will come or not')
('este escritorio es tan bueno como ese', 'this desk is as good as that one')
('yo te proveere de toda la informacion necesaria', 'i ll provide you with all the necessary information')
('fue hecho a mano', 'it was handmade')
('no podria hacerlo sin tu ayuda', 'i wouldn t be able to do this without your help')
('no tenemos papel higienico', 'we don t have toilet paper')
('no te estaba ignorando', 'i wasn t ignoring you')
('nos vamos manana por la manana', 'we ll leave tomorrow morning')
('cuando fue la ultima vez que pagaste una multa ?', 'when was the last time you paid a fine ?')
('se quien eres', 'i know who you are')
('a mi madre no le gusta ver la television', 'my mother doesn t like watching tv')
('les encantaste', 'they loved you')
('lo que mas recuerdo de esa pelicula es la ultima escena', 'what i remember most about that movie is the last scene')
('por que no esperamos hasta el proximo ano ?', 'why don t we wait until next year ?')
('no podemos prometer nada', 'we can t promise anything')
('me pongo el casco siempre que me monto en la moto', 'i always wear a helmet when i ride my motorcycle')
('planeo conseguir un empleo tan pronto como pueda', 'i plan to get a job as soon as i can')
('cual es mas barata ?', 'which is cheaper ?')
('si quieres mas detalles sobre eso tendras que preguntar a mi jefe', 'if you want more details about that you ll have to ask my boss')
('tom no es el hombre que solia ser', 'tom isn t the man he used to be')
('tendre en cuenta tu consejo', 'i will keep your advice in mind')
('tengo una sorpresa para ustedes', 'i have a surprise for you')
('disculpame pero esa es mi raqueta', 'pardon me but that s my racket')
('prestame tu cuchillo por favor', 'lend me your knife please')
('no hay errores en tu composicion', 'there are no mistakes in your composition')
('todos los dias me paseo por el bosque', 'i walk in the forest every day')
('un amigo me conto esa historia', 'a friend told me that story')
('su concierto fue un gran exito', 'their concert was a big hit')
('no es una nina', 'she s not a child')
('me he levantado hacia las seis', 'i got up about six')
('el granjero sembro su campo con trigo', 'the farmer sowed his field with wheat')
('las bellas artes florecieron en italia en el siglo xv', 'the fine arts flourished in italy in the th century')
('vamos a probar algo un poco mas sencillo', 'let s try something a little simpler')
('obviamente me gusta la cerveza', 'obviously i like beer')
('te amo', 'i love you')
('este arbol es mas viejo que yo', 'this tree is older than i am')
('servite mas papas fritas', 'help yourself to more potato chips')
('se exactamente quien es', 'i know exactly who it is')
